"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q8_a","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_a","Q10","Q10_a","Q11","Q12","Q13","Q13_a","Q13_b","Q14","Q14_a","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26_1","Q26_2","Q26_3","Q26_4","Q27","Q28","Q29","Q30_1","Q30_2","Q30_3","Q30_4","Q30_5","Q31"
"1","2","20","7","8","2","3","3",,"0","1","0","0","0",,"2",,"3","2","4","2","3","2",,"1","5","1","3","2","4","2","4","2","1","4","1","1","0","0","2","5","4","1","0","0","0","0","5"
"1","1","20","6","6","7","3","3",,"0","0","0","1","0",,"2",,"3","3","2","2","4","2",,"1","4","1","2","2","3","2","2","1","1","3","1","1","1","1","2","3","2","1","0","0","0","0","5"
"1","1","21","6","6","1","3","3",,"0","0","0","1","0",,"3","3","3","1","4","1","5","1",,"1","4","1","3","2","5","4","4","1","1","3","0","1","1","1","2","5","1","1","1","0","0","0","5"
"1","1","20","18","18","3","4","3",,"0","0","0","1","0",,"2",,"3","2","3","2","4","6","3","2","5","2","2","1","3","3","3","3","2","4","0","1","1","0","2","3","2","1","1","1","0","0","1"
"1","2","19","5","5","2","5","4",,"0","0","0","0","1",,"3","3","3","2","4","3","2","5",,"2","4","5","4","5","4","3","2","3","2","3","1","0","0","0","2","3","1","0","0","0","1","0","5"
"1","2","23","1","2","1","3","3",,"1","0","0","1","0",,"3","4","3","2","1","2","2","3",,"2","2",,,,,,,,,,"0","0","0","0",,,,"0","0","0","0","0",
"1","2","18","4","5","3","3","4",,"0","0","0","1","0",,"2",,"3","3","4","2","2","2",,"1","5","3","2","5","2","4","5","1","2","3","1","0","0","0","2","2","4","1","0","0","0","0","7"
"1",,,,,,,,,"0","0","0","0","0",,,,,,,,,"2",,"3","1","2","2","2","2","2","2","2","2","3","0","1","0","0","1","2","2","0","0","1","0","0","3"
"1","2","19",,,,,,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,"0","0","0","0","0",
"1","2","19","7",,,"3","3",,"0","0","0","0","1",,"3","4","1","2","4","2","3","4",,"1","4","2","2","2","2","2","2","1","1","4","1","1","0","0","1","2","1","0","0","0","0","1","3"
"1","2","19","5",,,"5","3",,"0","1","0","0","0",,"1",,"2","3","4","3","1","3",,"5","3","3","2","3","3","3","5","5","4","3","0","0","0","1","3","2","3","0","0","1","0","0","2"
"1","2","18","9","9","1","2","3",,"0","0","0","0","1",,"3","1","4","1","4","2","2","1",,"1","5","1","1","1","1","5","1","1","1","3","0","0","1","0","3","5","1","1","0","0","0","0","3"
